Date;27577 - Commodity Index - Brazil - Energy - Index
01/1998;18.63
02/1998;18.25
03/1998;18.11
04/1998;19.57
05/1998;19.34
06/1998;18.48
07/1998;18.03
08/1998;17.64
09/1998;18.53
10/1998;18.75
11/1998;17.66
12/1998;16.76
01/1999;20.76
02/1999;25.85
03/1999;28.32
04/1999;26.81
05/1999;25.35
06/1999;26.94
07/1999;28.06
08/1999;30.91
09/1999;32.16
10/1999;33.51
11/1999;32.45
12/1999;30.60
01/2000;29.87
02/2000;30.55
03/2000;30.74
04/2000;30.52
05/2000;34.12
06/2000;36.13
07/2000;35.51
08/2000;37.21
09/2000;40.57
10/2000;41.96
11/2000;45.32
12/2000;49.42
01/2001;47.13
02/2001;45.45
03/2001;46.77
04/2001;49.77
05/2001;49.99
06/2001;50.47
07/2001;49.33
08/2001;53.41
09/2001;48.18
10/2001;46.94
11/2001;40.25
12/2001;35.26
01/2002;34.15
02/2002;33.19
03/2002;35.93
04/2002;37.97
05/2002;41.21
06/2002;44.26
07/2002;48.42
08/2002;53.50
09/2002;60.65
10/2002;68.96
11/2002;61.62
12/2002;69.98
01/2003;70.78
02/2003;78.87
03/2003;73.63
04/2003;61.63
05/2003;63.09
06/2003;62.76
07/2003;59.65
08/2003;64.23
09/2003;62.73
10/2003;63.59
11/2003;63.95
12/2003;72.66
01/2004;73.89
02/2004;75.02
03/2004;81.57
04/2004;80.95
05/2004;94.13
06/2004;94.00
07/2004;97.50
08/2004;98.97
09/2004;98.06
10/2004;106.36
11/2004;100.68
12/2004;92.20
01/2005;90.40
02/2005;86.39
03/2005;97.81
04/2005;93.86
05/2005;84.99
06/2005;85.08
07/2005;86.64
08/2005;95.79
09/2005;100.84
10/2005;99.71
11/2005;93.07
12/2005;100.00
01/2006;88.94
02/2006;79.31
03/2006;77.02
04/2006;79.54
05/2006;78.11
06/2006;79.96
07/2006;77.21
08/2006;79.31
09/2006;73.09
10/2006;72.32
11/2006;72.48
12/2006;70.92
01/2007;64.83
02/2007;68.13
03/2007;68.90
04/2007;70.45
05/2007;70.70
06/2007;70.80
07/2007;65.78
08/2007;67.12
09/2007;70.15
10/2007;73.17
11/2007;76.58
12/2007;73.37
01/2008;79.00
02/2008;86.49
03/2008;90.50
04/2008;98.47
05/2008;109.37
06/2008;118.47
07/2008;108.58
08/2008;93.53
09/2008;94.03
10/2008;96.42
11/2008;88.36
12/2008;79.93
01/2009;71.49
02/2009;64.43
03/2009;59.76
04/2009;54.71
05/2009;55.54
06/2009;56.56
07/2009;51.49
08/2009;51.12
09/2009;53.85
10/2009;60.02
11/2009;55.97
12/2009;59.00
01/2010;63.19
02/2010;62.53
03/2010;57.54
04/2010;57.75
05/2010;58.99
06/2010;61.46
07/2010;59.95
08/2010;58.72
09/2010;55.48
10/2010;55.29
11/2010;59.58
12/2010;62.66
01/2011;63.47
02/2011;61.84
03/2011;65.35
04/2011;65.63
05/2011;64.59
06/2011;64.23
07/2011;63.05
08/2011;61.55
09/2011;66.59
10/2011;65.94
11/2011;65.50
12/2011;63.91
01/2012;59.29
02/2012;57.15
03/2012;59.01
04/2012;58.41
05/2012;60.50
06/2012;58.61
07/2012;62.81
08/2012;65.35
09/2012;66.33
10/2012;69.38
11/2012;70.97
12/2012;69.17
01/2013;67.17
02/2013;66.37
03/2013;66.81
04/2013;68.08
05/2013;68.41
06/2013;69.91
07/2013;72.31
08/2013;74.18
09/2013;74.86
10/2013;73.11
11/2013;75.93
12/2013;82.52
01/2014;83.66
02/2014;85.28
03/2014;81.71
04/2014;79.89
05/2014;78.96
06/2014;80.23
07/2014;75.37
08/2014;75.34
09/2014;75.87
10/2014;74.99
11/2014;78.94
12/2014;68.41
01/2015;56.35
02/2015;63.56
03/2015;69.15
04/2015;67.29
05/2015;71.53
06/2015;71.53
07/2015;71.20
08/2015;72.45
09/2015;79.64
10/2015;77.24
11/2015;71.83
12/2015;64.25
01/2016;64.82
02/2016;60.98
03/2016;58.96
04/2016;61.10
05/2016;65.37
06/2016;70.83
07/2016;69.11
08/2016;68.67
09/2016;73.58
10/2016;80.67
11/2016;79.63
12/2016;90.46
01/2017;85.96
02/2017;81.60
03/2017;78.11
04/2017;81.35
05/2017;80.80
06/2017;78.17
07/2017;77.91
08/2017;79.41
09/2017;84.12
10/2017;88.01
11/2017;95.52
12/2017;96.01
01/2018;99.46
02/2018;94.14
03/2018;96.08
04/2018;105.40
05/2018;121.01
Source;BCB-Depec
